Señal_0;Señal_1;Target
0,00;0,84;Estable
0,01;0,81;Alerta
0,00;0,74;Estable
0,02;0,32;Estable
0,00;0,74;Alerta
0,34;0,94;Alarma
0,73;0,74;Alerta
18,05;0,80;Alarma
0,01;0,55;Estable
0,53;0,99;Alarma
0,00;0,07;Estable
1,55;0,99;Alarma
0,00;0,11;Estable
0,02;0,68;Alerta
0,01;0,32;Estable
0,00;0,85;Estable
0,01;0,26;Estable
0,01;0,71;Alerta
0,02;0,71;Alerta
0,00;0,07;Estable
0,02;0,74;Alerta
0,66;0,65;Alerta
0,44;0,30;Estable
-20,74;0,91;Estable
0,01;0,51;Estable
0,19;0,84;Alarma
0,00;0,85;Estable
-22,36;0,80;Estable
15,29;0,25;Estable
0,00;0,97;Estable
23,55;0,97;Alarma
0,02;0,77;Alerta
0,62;0,76;Alerta
0,01;0,81;Alerta
0,00;0,88;Estable
0,02;0,91;Alarma
0,00;0,78;Estable
0,00;0,68;Estable
0,02;0,91;Alerta
0,80;0,73;Alerta
0,50;0,75;Alerta
0,01;0,22;Estable
0,00;0,82;Alerta
0,00;0,73;Estable
0,73;0,93;Alarma
0,01;0,29;Estable
0,00;0,12;Estable
2,70;0,86;Alarma
0,00;0,45;Estable
0,00;0,66;Alerta
0,01;0,76;Alerta
0,00;0,78;Estable
0,00;0,35;Estable
23,72;0,15;Estable
0,02;0,04;Estable
0,01;0,47;Estable
0,00;0,80;Estable
0,02;0,84;Alerta
16,35;0,93;Alarma
-5,08;0,65;Estable
5,66;0,65;Estable
0,01;0,91;Alerta
5,24;0,82;Alarma
0,02;0,56;Estable
0,02;1,00;Alarma
0,00;0,36;Estable
28,58;0,88;Alarma
0,00;0,92;Alerta
0,02;0,85;Alarma
0,00;0,42;Estable
0,02;0,44;Estable
0,00;0,67;Alerta
0,02;0,43;Estable
0,00;0,43;Estable
0,02;0,72;Alerta
0,00;0,51;Estable
4,70;0,83;Alarma
0,00;0,86;Estable
0,64;0,20;Estable
0,00;0,51;Estable
0,00;0,41;Estable
0,91;0,68;Alerta
0,00;0,78;Alerta
16,80;0,84;Alarma
0,72;0,73;Alerta
0,01;0,78;Alerta
0,00;0,91;Estable
0,34;0,66;Alerta
9,27;0,43;Estable
13,92;0,27;Estable
0,69;0,44;Estable
0,31;0,88;Alarma
0,00;0,51;Estable
0,79;0,73;Alerta
0,01;0,70;Alerta
9,87;0,18;Estable
0,93;0,22;Estable
0,00;0,65;Estable
0,00;0,78;Estable
0,25;0,44;Estable
0,24;0,63;Estable
0,00;0,48;Estable
0,00;0,86;Alerta
0,41;0,29;Estable
11,70;0,74;Alerta
0,01;0,13;Estable
0,00;0,77;Estable
0,00;0,83;Estable
0,00;0,39;Estable
0,01;0,06;Estable
11,34;0,89;Alarma
11,59;0,66;Alerta
0,02;0,71;Alerta
0,00;0,70;Alerta
0,85;0,39;Estable
18,69;0,94;Alarma
0,00;0,96;Estable
0,65;0,73;Alerta
0,00;0,58;Estable
-6,09;0,68;Estable
0,58;0,65;Estable
0,01;0,96;Alerta
0,00;0,88;Alerta
0,00;0,74;Alerta
0,59;0,46;Estable
0,02;0,22;Estable
0,88;0,84;Alarma
0,00;0,68;Alerta
0,20;0,74;Alerta
-22,57;0,72;Estable
0,02;0,66;Alerta
0,01;0,83;Alerta
11,32;0,59;Estable
0,00;0,18;Estable
0,94;0,87;Alarma
0,00;0,95;Estable
-5,30;0,33;Estable
0,00;0,24;Estable
0,01;0,95;Alerta
0,02;0,91;Alarma
4,64;0,74;Alerta
0,02;0,69;Alerta
0,00;0,68;Estable
0,00;0,80;Estable
0,13;0,68;Alerta
2,79;0,72;Alerta
0,37;0,30;Estable
0,00;0,74;Estable
0,29;0,43;Estable
0,02;0,71;Alerta
0,00;0,61;Estable
0,02;0,91;Alerta
0,02;0,60;Estable
9,84;0,76;Alerta
0,00;0,80;Alerta
0,02;0,73;Alerta
0,00;0,94;Estable
7,50;0,29;Estable
0,40;0,50;Estable
0,01;0,15;Estable
0,02;0,72;Alerta
0,02;0,94;Alarma
0,01;0,83;Alerta
0,01;0,82;Alerta
20,67;0,96;Alarma
13,76;0,84;Alarma
0,00;0,86;Estable
0,01;0,88;Alerta
0,94;0,36;Estable
0,02;0,62;Estable
0,02;0,71;Alerta
0,00;0,12;Estable
0,00;0,33;Estable
10,72;0,94;Alarma
0,32;0,65;Alerta
0,01;0,69;Alerta
0,01;1,00;Alerta
0,00;0,65;Estable
0,00;0,34;Estable
0,00;0,93;Estable
0,00;0,90;Estable
-7,06;0,42;Estable
0,01;0,65;Alerta
0,57;0,76;Alerta
0,02;0,82;Alarma
0,02;0,90;Alarma
0,20;0,66;Alerta
0,69;0,23;Estable
13,39;0,87;Alarma
0,00;0,71;Estable
0,02;0,75;Alerta
0,01;0,80;Alerta
7,93;0,96;Alarma
0,00;0,26;Estable
0,00;0,93;Estable
14,84;0,82;Alarma
0,02;0,86;Alarma
12,52;0,81;Alarma
0,01;0,85;Alerta
0,02;0,69;Alerta
0,51;0,48;Estable
0,19;0,87;Alarma
0,00;0,65;Estable
0,00;0,94;Estable
0,02;0,94;Alarma
0,01;0,15;Estable
0,02;0,96;Alarma
0,02;0,71;Alerta
13,55;0,98;Alarma
0,00;0,68;Estable
0,00;0,24;Estable
0,00;0,80;Alerta
0,01;0,88;Alerta
0,02;0,26;Estable
0,64;0,65;Alerta
0,87;0,44;Estable
0,01;0,08;Estable
0,02;0,86;Alerta
0,02;0,66;Alerta
0,53;0,70;Alerta
0,02;0,58;Estable
-4,89;0,33;Estable
0,71;0,51;Estable
0,02;0,07;Estable
0,57;0,97;Alarma
0,00;0,39;Estable
0,00;0,64;Estable
-13,97;0,67;Estable
9,90;0,76;Alerta
0,00;0,84;Estable
0,02;0,43;Estable
0,10;0,46;Estable
0,02;0,97;Alarma
0,00;0,83;Alerta
0,87;0,69;Alerta
0,27;0,31;Estable
1,91;0,68;Alerta
0,00;0,59;Estable
0,01;0,96;Alerta
0,50;0,27;Estable
0,00;0,86;Estable
0,02;0,84;Alarma
0,01;0,67;Alerta
-20,60;0,50;Estable
0,00;0,94;Alerta
3,45;0,74;Alerta
0,23;0,74;Alerta
-11,55;0,88;Estable
0,00;0,67;Estable
0,00;0,81;Estable
0,27;0,97;Alarma
0,00;0,74;Estable
0,95;0,46;Estable
0,01;0,41;Estable
-19,89;0,68;Estable
0,02;0,69;Alerta
0,00;0,27;Estable
0,01;0,80;Alerta
0,00;0,65;Estable
12,08;0,67;Alerta
0,02;0,96;Alarma
5,88;0,82;Alarma
0,01;0,64;Estable
0,02;0,85;Alarma
12,53;0,78;Alerta
0,02;0,98;Alarma
0,02;0,17;Estable
0,00;0,97;Alerta
0,02;0,71;Alerta
0,01;0,08;Estable
0,00;0,49;Estable
0,15;0,94;Alarma
2,79;0,39;Estable
0,00;0,25;Estable
0,00;0,59;Estable
0,92;0,65;Alerta
0,02;0,17;Estable
0,02;0,90;Alarma
0,01;0,75;Alerta
0,02;0,99;Alerta
0,02;0,92;Alarma
0,01;0,65;Estable
20,61;0,67;Alerta
0,00;0,75;Alerta
0,62;0,78;Alerta
0,01;0,07;Estable
0,00;0,82;Estable
1,00;0,72;Alerta
0,00;0,62;Estable
0,54;0,68;Alerta
0,00;0,81;Estable
0,00;0,66;Estable
0,00;0,22;Estable
0,22;0,74;Alerta
2,44;0,87;Alarma
0,01;0,83;Alerta
0,00;0,68;Alerta
0,02;0,78;Alerta
0,02;0,25;Estable
0,31;0,73;Alerta
0,00;0,92;Alerta
11,17;0,99;Alarma
0,15;0,94;Alarma
0,81;0,59;Estable
-13,35;0,49;Estable
0,02;0,65;Estable
-14,48;0,84;Estable
0,83;0,57;Estable
-10,09;0,83;Estable
0,01;0,75;Alerta
9,33;0,86;Alarma
0,00;0,82;Estable
0,02;0,74;Alerta
0,01;0,83;Alerta
0,00;0,79;Estable
0,00;0,65;Alerta
0,58;0,53;Estable
